"","Date","Color","Breed","Sex","State","Name","DateCreated","Year","Month","Day","Wday"
"31",2011-02-28,"Tan","Shep X","F/S","Lost","No Name",2011-02-28,"2011","2",28,"Mon"
"32",2011-02-28,"Brown","Lab","F/S","Lost","Nikki",2011-02-28,"2011","2",28,"Mon"
"33",2011-02-28,"Chocolate","Lab","F/S","Matched","Nikki",2011-02-28,"2011","2",28,"Mon"
"34",2011-03-01,"Black & White","Havanese","F/S","Lost","Buttercup",2011-03-01,"2011","3",1,"Tues"
"35",2011-03-02,"Black","Spaniel X","M","Lost","Kiko",2011-03-02,"2011","3",2,"Wed"
"36",2011-03-02,"White","Amer Eskimo X","M/N","Lost","White Fang",2011-03-03,"2011","3",2,"Wed"
"37",2011-03-02,"Brown & White","Shih Tzu X","M/N","Lost","Louis",2011-03-03,"2011","3",2,"Wed"
"38",2011-03-04,"Black W/ White On Neck","Cat","M/N","Lost","Timmy",2011-03-04,"2011","3",4,"Fri"
"39",2011-03-04,"Black & White","Cat","M","Lost","Monkey",2011-03-04,"2011","3",4,"Fri"
"40",2011-03-05,"Orange Tabby  With Pink Nose","Cat","M/N","Lost","No Name",2011-03-05,"2011","3",5,"Sat"
"41",2011-03-05,"Chocholate","Lab","F/S","Lost","Coco",2011-03-05,"2011","3",5,"Sat"
"42",2011-03-07,"Brown/red","Golden Lab X","F/S","Lost","Ruby",2011-03-07,"2011","3",7,"Mon"
"43",2011-03-07,"Black","Belgian Shepherd","M/N","Lost","Cody",2011-03-07,"2011","3",7,"Mon"
"44",2011-03-08,"Black/brown/white- Blue Eyes","Husky","F/S","Matched","Frankie",2011-03-08,"2011","3",8,"Tues"
"45",2011-03-11,"Copper W/white Belly & Paws","Basenji","M/N","Lost","Sport",2011-03-11,"2011","3",11,"Fri"
"46",2011-03-12,"Cream W/blk & Grey Markings","Keesehound","F/S","Lost","Haley",2011-03-12,"2011","3",12,"Sat"
"47",2011-03-13,"Brindle","Pitbull","F/S","Lost","Askher",2011-03-13,"2011","3",13,"Sun"
"48",2011-03-16,"Blonde","Lab Retriever","F","Lost","Maia",2011-03-16,"2011","3",16,"Wed"
"49",2011-03-16,"Grey","Domestic Med Hair Cat","F/S","Lost","Gracie",2011-03-16,"2011","3",16,"Wed"
"50",2011-03-16,"Grey","African Grey","X","Lost","Milo",2011-03-16,"2011","3",16,"Wed"
"51",2011-03-18,"Fawn W/white Chest","Boxer","M/N","Lost","Ike",2011-03-18,"2011","3",18,"Fri"
"52",2011-03-20,"Black","Sheltie / Border Collie X","M","Matched","Bruno",2011-03-20,"2011","3",20,"Sun"
"53",2011-03-17,"Tortise","Cat","F/S","Lost","Rime",2011-03-21,"2011","3",17,"Thurs"
"54",2011-03-21,"Yellow","Budgie","F","Lost","No Name",2011-03-21,"2011","3",21,"Mon"
"55",2011-03-24,"Black","Lab","F/S","Matched","Turley",2011-03-24,"2011","3",24,"Thurs"
"56",2011-03-24,"Black & White","Karelian Bear Dog","M/N","Matched","Jango",2011-03-24,"2011","3",24,"Thurs"
"57",2011-03-25,"Black & White","Boston Terrier","M/N","Lost","Ace",2011-03-25,"2011","3",25,"Fri"
"58",2011-03-26,"All Black With A Little White","Skipperkee/ Brussels Griffin","F","Lost","Luna",2011-03-26,"2011","3",26,"Sat"
"59",2011-03-27,"Brown & Black & White","Jack Russel","M","Matched","Scooter",2011-03-27,"2011","3",27,"Sun"
"60",2011-03-28,"Tri Colour","Jack Russell Terrier","M/N","Lost","Spartin",2011-03-28,"2011","3",28,"Mon"
"61",2011-04-05,"Tri Colour","Bernese Mountain Dog","M","Matched","Hurley",2011-04-05,"2011","4",5,"Tues"
"62",2011-04-18,"White/tan Patches","Pom","M/N","Matched","Spock",2011-04-18,"2011","4",18,"Mon"
"63",2011-04-28,"Black & Tan","Sheltie X Spaniel","F","Matched","Honey",2011-04-28,"2011","4",28,"Thurs"
"64",2011-04-01,"Brown W/ White Spots On Feet","Pomeranian","F","Lost","Precious",2011-04-01,"2011","4",1,"Fri"
"65",2011-04-03,"Golden","Mini Goldendoodle","M","Lost","Franklyn",2011-04-03,"2011","4",3,"Sun"
"66",2011-04-05,"Tri Colour","Shetland Sheepdog","M/N","Lost","Taffy",2011-04-05,"2011","4",5,"Tues"
"67",2011-04-06,"Black & White","Japanese Chin X","M","Lost","Haro",2011-04-06,"2011","4",6,"Wed"
"68",2011-04-06,"Black & White","Sheltie X","F","Lost","Qing Mei",2011-04-06,"2011","4",6,"Wed"
"69",2011-04-08,"White","Min Poodle / Bichon X","M/N","Lost","Hercules",2011-04-08,"2011","4",8,"Fri"
"70",2011-04-08,"Grey/black","Min Schnauzer","M","Lost","Jack",2011-04-08,"2011","4",8,"Fri"
"71",2011-04-11,"Tan & White","Pit X ( Rotti ) Puppy 6 Mths","M","Lost","Lucky",2011-04-11,"2011","4",11,"Mon"
"72",2011-04-15,"Grey","Cockatiel","M","Lost","Bajo",2011-04-15,"2011","4",15,"Fri"
"73",2011-04-15,"Red","Austrailian Heeler","M/N","Lost","Rocco",2011-04-15,"2011","4",15,"Fri"
"74",2011-04-15,"Wheaton","Wheaton Terrier","F/S","Lost","Ruby",2011-04-16,"2011","4",15,"Fri"
"75",2011-04-17,"Tan","Shibu Inu","F","Lost","Nina",2011-04-17,"2011","4",17,"Sun"
"76",2011-04-18,"Yellow","Budgie","X","Lost","Pretty Bird",2011-04-18,"2011","4",18,"Mon"
"77",2011-04-18,"Golden","Chow","M","Lost","Wang",2011-04-18,"2011","4",18,"Mon"
"78",2011-04-19,"Black & White","Siberian Husky","M","Lost","Nero (aka Rocky)",2011-04-19,"2011","4",19,"Tues"
"79",2011-04-20,"White/black Head","French Bulldog","F/S","Lost","Zoey",2011-04-20,"2011","4",20,"Wed"
"80",2011-04-16,"Black","Dsh Cat","F/S","Lost","Star",2011-04-20,"2011","4",16,"Sat"
"81",2011-04-18,"Black & White","Dsh Cat","M/N","Lost","Buddy (angus)",2011-04-21,"2011","4",18,"Mon"
"82",2011-04-24,"Black & White","Husky","F","Lost","Chocolate",2011-04-24,"2011","4",24,"Sun"
"83",2011-04-25,"Brown","King Charles Cavalier Spaniel","F","Lost","Kenzie",2011-04-25,"2011","4",25,"Mon"
"84",2011-04-26,"Tan","Pug","F","Lost","Darla",2011-04-26,"2011","4",26,"Tues"
"85",2011-04-27,"Gray W/ White Face & Paws","Blue Nose Pit Bull","F/S","Lost","Grace",2011-04-27,"2011","4",27,"Wed"
"86",2011-04-27,"Tan","Chihuahua","M","Matched","Rosco",2011-04-27,"2011","4",27,"Wed"
"87",2011-04-27,"Fawn","Pekingese","F/S","Lost","Pugsy",2011-04-27,"2011","4",27,"Wed"
"88",2011-04-27,"Blonde","Lab X","M","Lost","Jake",2011-04-27,"2011","4",27,"Wed"
"89",2011-04-27,"Tan/blonde","Pekingese X","M/N","Lost","Money",2011-04-27,"2011","4",27,"Wed"
"90",2011-04-27,"Brindle","Pit Bull X","F/S","Lost","Jasmine",2011-04-27,"2011","4",27,"Wed"
"91",2011-04-29,"Fawn","Pug","M","Lost","Larry",2011-04-29,"2011","4",29,"Fri"
"92",2011-04-29,"Beige","Terrier","","Lost","No Name",2011-04-29,"2011","4",29,"Fri"
"93",2011-05-03,"Black & White","Chihuahua","M/N","Lost","J.D",2011-05-03,"2011","5",3,"Tues"
"94",2011-05-03,"Multi","Parrot","M","Lost","Baby Picasso",2011-05-03,"2011","5",3,"Tues"
"95",2011-05-06,"Tan W/ Black On Face","Pug","M","Lost","Misha",2011-05-06,"2011","5",6,"Fri"
"96",2011-05-08,"Black & Brown","Boxer X Malamute","F/S","Matched","Sophie",2011-05-08,"2011","5",8,"Sun"
"97",2011-05-09,"White/tan","Shih Tzu","M","Lost","Coco",2011-05-09,"2011","5",9,"Mon"
"98",2011-05-10,"Fawn/black","Pug","F/S","Lost","Rosie",2011-05-10,"2011","5",10,"Tues"
"99",2011-05-08,"Black & White","Dsh Cat","F/S","Lost","No Name",2011-05-10,"2011","5",8,"Sun"
"100",2011-05-11,"Black & Tan","German Shep X Terrier","M/N","Matched","Bradley",2011-05-11,"2011","5",11,"Wed"
"101",2011-05-11,"Black & Tan","Rottweiler X","F","Matched","Coco",2011-05-11,"2011","5",11,"Wed"
"102",2011-05-13,"Black","Teacup Poodle","M/N","Matched","Cody",2011-05-13,"2011","5",13,"Fri"
"103",2011-05-15,"Brown & White","Jack Russell Terrier","F/S","Lost","Lucy",2011-05-15,"2011","5",15,"Sun"
"104",2011-05-16,"Black & Brown","Mixed Dog","F/S","Lost","Calabasa",2011-05-16,"2011","5",16,"Mon"
"105",2011-05-17,"Orange/black/brown","Sh Bengal Cat","F/S","Lost","Missou",2011-05-17,"2011","5",17,"Tues"
"106",2011-05-17,"Black & White","Dsh Cat","M/N","Lost","Milk",2011-05-17,"2011","5",17,"Tues"
"107",2011-05-18,"White/beige","Shih Tzu","M/N","Matched","Puppy",2011-05-18,"2011","5",18,"Wed"
"108",2011-05-19,"","Husky","M","Lost","No Name",2011-05-19,"2011","5",19,"Thurs"
"109",2011-05-26,"Golden","Retriever","F","Lost","Sheila",2011-05-26,"2011","5",26,"Thurs"
"110",2011-05-31,"Black & Tan","Yorkie","M/N","Lost","Sushi",2011-05-31,"2011","5",31,"Tues"
"111",2011-05-31,"White/cream/apricot","Flamepoint  Himalayan","M/N","Lost","Taydoe",2011-05-31,"2011","5",31,"Tues"
"112",2011-06-02,"Black W/brwn Feet Striped Tail","Skipper X Bermese","M","Lost","Domino",2011-06-02,"2011","6",2,"Thurs"
"113",2011-06-03,"White/black/orange","Sh Calico Cat","F/S","Lost","Buffy",2011-06-03,"2011","6",3,"Fri"
"114",2011-06-05,"Black & White","Bichon X Shih Tzu","M/N","Lost","Bear",2011-06-05,"2011","6",5,"Sun"
"115",2011-06-08,"Grey & White","Husky X","M/N","Matched","Rusty",2011-06-08,"2011","6",8,"Wed"
"116",2011-06-09,"Black","Dsh Cat","M/N","Lost","Safe",2011-06-09,"2011","6",9,"Thurs"
"117",2011-06-09,"White","Pomeranian","M","Lost","Bentley",2011-06-09,"2011","6",9,"Thurs"
"118",2011-06-10,"Dark Brown/ White Underbelly","Husky X Shepherd","F","Matched","Dallas",2011-06-10,"2011","6",10,"Fri"
"119",2011-06-11,"N/a","Flare Point Cat","","Lost","No Name",2011-06-11,"2011","6",11,"Sat"
"120",2011-06-11,"Grey W/white Face","Cockatiel","X","Lost","Joey",2011-06-11,"2011","6",11,"Sat"
"121",2011-06-11,"Tan","Pomeranian","","Lost","Ruka",2011-06-11,"2011","6",11,"Sat"
"122",2011-06-13,"Black/grey White Body","Shep X Husky","M/N","Matched","Buddy",2011-06-13,"2011","6",13,"Mon"
"123",2011-06-14,"Gold","Chow","M","Lost","Bailey",2011-06-14,"2011","6",14,"Tues"
"124",2011-06-14,"Grey","Dlh Cat","M/N","Lost","Bully",2011-06-14,"2011","6",14,"Tues"
"125",2011-06-16,"Yellow","Lab","F","Lost","Bella",2011-06-16,"2011","6",16,"Thurs"
"126",2011-06-20,"Tan","Chihuahua X Pom","M","Lost","Pepito",2011-06-20,"2011","6",20,"Mon"
"127",2011-06-21,"Orange Tabby","Domestic Short Hair","M/N","Lost","Charlie",2011-06-21,"2011","6",21,"Tues"
"128",2011-06-23,"Black/white Chest","Pug","M","Matched","Kujo",2011-06-23,"2011","6",23,"Thurs"
"129",2011-06-24,"Tri Colour","Aussie Shep","M/N","Matched","River",2011-06-24,"2011","6",24,"Fri"
"130",2011-06-29,"Rust/blonde","Pom X Pap","M","Matched","Charlie",2011-06-29,"2011","6",29,"Wed"
"131",2011-07-07,"Brown","Lhasa Apso","F","Matched","Lisa",2011-07-07,"2011","7",7,"Thurs"
"132",2011-07-15,"Blonde","Lab X Terrier","F/S","Matched","Prints",2011-07-15,"2011","7",15,"Fri"
"133",2011-07-21,"Cooper/tan Wirey Hair","Cairn Terrier X","F/S","Matched","Angie",2011-07-21,"2011","7",21,"Thurs"
"134",2011-07-21,"Black","Beagle X","M/N","Matched","Tyson",2011-07-21,"2011","7",21,"Thurs"
"135",2011-07-25,"White","Samoyed","F","Matched","Sky",2011-07-25,"2011","7",25,"Mon"
"136",2011-07-25,"White & Beige","Yorkie","X","Matched","Renny",2011-07-25,"2011","7",25,"Mon"
"137",2011-07-28,"Yellow","Lab","M/N","Matched","Sir Loin",2011-07-28,"2011","7",28,"Thurs"
"138",2011-08-02,"White","Miniature Poodle X","M/N","Matched","Bailey",2011-08-03,"2011","8",2,"Tues"
"139",2011-08-04,"White/tan","Chihuahua","F/S","Matched","Me",2011-08-04,"2011","8",4,"Thurs"
"140",2011-08-06,"Brown & White","Jack Russell Terrier","F/S","Matched","Chica",2011-08-09,"2011","8",6,"Sat"
"141",2011-08-08,"Tri Colour","Shih Tzu X","M","Matched","Tom",2011-08-09,"2011","8",8,"Mon"
"142",2011-08-11,"White","Samoyed","F","Matched","Rorie",2011-08-12,"2011","8",11,"Thurs"
"143",2011-08-12,"White","Shih Tzu X Poodle","F/S","Matched","Molly",2011-08-12,"2011","8",12,"Fri"
"144",2011-08-27,"White","American Eskimo","","Matched","Miya",2011-08-27,"2011","8",27,"Sat"
"145",2011-08-31,"White/tan","Shih Tzu","F","Matched","Cici",2011-08-31,"2011","8",31,"Wed"
"146",2011-09-04,"White/beige","Shih Tzu X","F/S","Matched","Poochie",2011-09-04,"2011","9",4,"Sun"
"147",2011-09-07,"Brown And Black","Min Pin","M/N","Matched","Prada",2011-09-07,"2011","9",7,"Wed"
"148",2011-09-26,"Brown And Stomach White","Pomeranian","X","Matched","Pumpkin",2011-09-26,"2011","9",26,"Mon"
"149",2011-09-29,"Black & White","Husky X Aussie Shepherd","M/N","Matched","Django",2011-09-29,"2011","9",29,"Thurs"
"150",2011-10-03,"Auburn","Rodesian Ridgeback","F/S","Matched","Lucy",2011-10-03,"2011","10",3,"Mon"
"151",2011-10-10,"Black","Lab","M","Matched","Moses",2011-10-10,"2011","10",10,"Mon"
"152",2011-10-11,"Tan","French Bulldog","M/N","Matched","Cooper",2011-10-11,"2011","10",11,"Tues"
"153",2011-10-13,"Yellowish, White, Golden","Husky","F","Matched","Misty",2011-10-13,"2011","10",13,"Thurs"
"154",2011-10-15,"Black & White","Shitzu","F","Matched","Tina",2011-10-15,"2011","10",15,"Sat"
"155",2011-10-16,"Black & Tan","Yorkshire Terrier","M","Matched","No Name",2011-10-16,"2011","10",16,"Sun"
"156",2011-10-17,"Black & Tan","Shepherd X","F/S","Matched","Angel",2011-10-17,"2011","10",17,"Mon"
"157",2011-10-19,"Black & Grey & White","Border Collie X Blue Heeler","F","Matched","Zara",2011-10-19,"2011","10",19,"Wed"
"158",2011-10-19,"Black W/shepherd Markings Paws","Lab X Shepherd","M/N","Matched","Max",2011-10-19,"2011","10",19,"Wed"
"159",2011-10-20,"Blue Merle","Sheltie","M","Matched","Cruz",2011-10-20,"2011","10",20,"Thurs"
"160",2011-10-20,"White","Bichon Frise","M/N","Matched","Lou",2011-10-20,"2011","10",20,"Thurs"
"161",2011-10-20,"Brown & White","Fox Terrier/schnauzer X","M","Matched","Cookie",2011-10-20,"2011","10",20,"Thurs"
"162",2011-10-28,"Blonde/yellow","Shiba Inu","M","Matched","Kiwi",2011-10-28,"2011","10",28,"Fri"
"163",2011-10-31,"Yellow","Border Collie X Lab","F/S","Matched","Peanut",2011-10-31,"2011","10",31,"Mon"
"164",2011-10-31,"Japanese X Yorkie","Blk/brown & Blk/white","X","Matched","Siga & Haro",2011-10-31,"2011","10",31,"Mon"
"165",2011-10-31,"Brown","Labrador","F","Matched","Callie",2011-10-31,"2011","10",31,"Mon"
"166",2011-11-04,"Fawn & Black","Pug","F","Matched","Muffin",2011-11-04,"2011","11",4,"Fri"
"167",2011-11-08,"Mostly Black W/tan Markings","German Shepherd X","F/S","Matched","Louis",2011-11-08,"2011","11",8,"Tues"
"168",2011-11-10,"Gold","Retriever","M/N","Matched","Sherman",2011-11-10,"2011","11",10,"Thurs"
"169",2011-11-11,"Black & White","Husky","F","Matched","Nuka",2011-11-11,"2011","11",11,"Fri"
"170",2011-11-12,"Black With Some White","Border Collie G Shep","F","Matched","Gypsy",2011-11-12,"2011","11",12,"Sat"
"171",2011-11-12,"Black & White","American Bulldog","F/S","Matched","Hussy",2011-11-12,"2011","11",12,"Sat"
"172",2011-11-11,"Black & Tan","Hound","M/N","Matched","Brownie",2011-11-12,"2011","11",11,"Fri"
"173",2011-11-13,"Blue","Amer. Staff","M","Matched","Zeus",2011-11-13,"2011","11",13,"Sun"
"174",2011-11-17,"Dark Grey/tan","Mixed (bigger Than Yorkie)","F","Matched","Mimi",2011-11-17,"2011","11",17,"Thurs"
"175",2011-06-28,"Black","Dlh Cat","M/N","Lost","Puff",2011-06-28,"2011","6",28,"Tues"
"176",2011-06-29,"Golden W/some Black","Golden X Shep","F/S","Lost","Lupa",2011-06-29,"2011","6",29,"Wed"
"177",2011-06-30,"Tri Colour","Shetland Sheepdog - Senior","F/S","Lost","Charm",2011-06-30,"2011","6",30,"Thurs"
"178",2011-07-02,"Black & White","Beagle X Boxer","","Lost","No Name",2011-07-02,"2011","7",2,"Sat"
"179",2011-07-03,"Tan/brown","Long Haired Chihuahua","F/S","Lost","Chibi",2011-07-03,"2011","7",3,"Sun"
"180",2011-07-03,"Fawn","Chihuahua","","Lost","No Name",2011-07-03,"2011","7",3,"Sun"
"181",2011-07-04,"Black & Tan","Lab X Collie","F/S","Lost","Dolly",2011-07-04,"2011","7",4,"Mon"
"182",2011-06-26,"White","Dsh Cat","M/N","Lost","No Name",2011-07-04,"2011","6",26,"Sun"
"183",2011-07-05,"Orange & White","Dsh Cat","M/N","Lost","Simon",2011-07-05,"2011","7",5,"Tues"
"184",2011-07-07,"Grey & Brown","Dsh Cat","M/N","Lost","Oetzio",2011-07-07,"2011","7",7,"Thurs"
"185",2011-07-08,"Brown & White","Chiuaha X Yorkie","M","Lost","Siga",2011-07-08,"2011","7",8,"Fri"
"186",2011-07-09,"Black And Brown Tabby W/white","Dsh","M/N","Lost","Hammy",2011-07-09,"2011","7",9,"Sat"
"187",2011-07-17,"Black And Brown Tabby","Dsh","","Unknown","No Name",2011-07-17,"2011","7",17,"Sun"
"188",2011-07-18,"White","Shih Tzu X Poodle","F","Lost","Angel",2011-07-18,"2011","7",18,"Mon"
"189",2011-07-18,"Black","Lab","M","Lost","Goose",2011-07-18,"2011","7",18,"Mon"
"190",2011-07-19,"Grey & White","Maltese X Shih Tzu","M","Lost","Qbie",2011-07-19,"2011","7",19,"Tues"
"191",2011-07-21,"Tan W/black","Teacup Yorkie X Maltese","M/N","Lost","Bitsy",2011-07-21,"2011","7",21,"Thurs"
"192",2011-07-22,"Black & White","Dashund X Cocker Spaniel","F","Lost","Star",2011-07-22,"2011","7",22,"Fri"
"193",2011-07-27,"Brown Brindle","Staffy","F/S","Lost","Daisy",2011-07-27,"2011","7",27,"Wed"
"194",2011-07-29,"Golden","Golden Retriever","M","Lost","Spaz",2011-07-29,"2011","7",29,"Fri"
"195",2011-07-29,"Cream/brown","Long Haired Himalayan","M/N","Lost","Katou",2011-07-29,"2011","7",29,"Fri"
"196",2011-07-17,"White/orange","Long Haired Himalayan","F/S","Lost","China White",2011-07-29,"2011","7",17,"Sun"
"197",2011-07-29,"Black / W/ White Paws","Sharpei X Border Collie","F/S","Lost","Buster",2011-07-29,"2011","7",29,"Fri"
"198",2011-07-26,"Grey","Terrier X","M/N","Lost","Puddle Jumper",2011-07-29,"2011","7",26,"Tues"
"199",2011-07-29,"White","Maltese","M","Lost","Fluffy",2011-07-29,"2011","7",29,"Fri"
"200",2011-08-01,"Brown W/ White Chest","Red Nosed Pitbull","F/S","Lost","Lucy",2011-08-01,"2011","8",1,"Mon"
"201",2011-08-01,"Torti Mix, Grey And White","Cat","","Lost","Walsen",2011-08-01,"2011","8",1,"Mon"
"202",2011-08-01,"Brown And Grey","Yorkie","F","Lost","No Name",2011-08-01,"2011","8",1,"Mon"
"203",2011-07-31,"Black & White","Dmh Cat","M/N","Lost","Max",2011-08-02,"2011","7",31,"Sun"
"204",2011-07-17,"Grey & White","Dsh Cat","M/N","Lost","Dawson",2011-08-02,"2011","7",17,"Sun"
"205",2011-07-31,"Auburn/white","Pitbull X","F/S","Lost","Mimi",2011-08-02,"2011","7",31,"Sun"
"206",2011-07-24,"Blk/white Broken Tail","Cat","M/N","Lost","Mosey",2011-08-03,"2011","7",24,"Sun"
"207",2011-07-31,"Grey & White","Dsh Cat","M","Lost","Charlie",2011-08-10,"2011","7",31,"Sun"
"208",2011-08-01,"Tan","Chihuahua","","Lost","Gia",2011-08-01,"2011","8",1,"Mon"
"209",2011-08-01,"Brown & White","Shitzu","M","Lost","No Name",2011-08-01,"2011","8",1,"Mon"
"210",2011-08-03,"Black & Tan","Yorkie","F/S","Lost","Chaco",2011-08-03,"2011","8",3,"Wed"
"211",2011-08-01,"Brown & White","Shih Tzu","F","Lost","Coco",2011-08-03,"2011","8",1,"Mon"
"212",2011-08-07,"Fawn","Pug","F","Lost","Saphire Star",2011-08-07,"2011","8",7,"Sun"
"213",2011-08-09,"Orange/white/black","Sh Calico Cat","F/S","Lost","Wren",2011-08-09,"2011","8",9,"Tues"
"214",2011-08-09,"Brown/tan","Yorkshire Terrier","F","Lost","Yor",2011-08-09,"2011","8",9,"Tues"
"215",2011-08-07,"Black & White","Dsh Cat","M","Lost","Pinky",2011-08-09,"2011","8",7,"Sun"
"216",2011-08-04,"Grey","Dlh Cat","M/N","Lost","Butch",2011-08-09,"2011","8",4,"Thurs"
"217",2011-08-07,"Black & White","Dsh Cat","F/S","Lost","Little Cat",2011-08-10,"2011","8",7,"Sun"
"218",2011-08-15,"Black","Border Collie X","F/S","Lost","Reba",2011-08-15,"2011","8",15,"Mon"
"219",2011-08-16,"Brindle","Pit Bull","F","Lost","Bella",2011-08-16,"2011","8",16,"Tues"
"220",2011-08-16,"Black And Tan With White Paws","Sheppard Collie X","M","Lost","No Name",2011-08-17,"2011","8",16,"Tues"
"221",2011-08-17,"Brown White And Chestnut","Shetland Sheepdog","M","Lost","Taffy",2011-08-17,"2011","8",17,"Wed"
"222",2011-08-17,"Beige And Orange","Cat","","Lost","No Name",2011-08-17,"2011","8",17,"Wed"
"223",2011-08-18,"Yellow","Yellow Lab","M/N","Lost","Tristen",2011-08-18,"2011","8",18,"Thurs"
"224",2011-08-19,"Black","Lab X","X","Lost","Keno",2011-08-19,"2011","8",19,"Fri"
"225",2011-08-21,"Black","Min Pin","M","Lost","Keeko",2011-08-21,"2011","8",21,"Sun"
"226",2011-08-22,"Black","Chihuahua","M","Lost","Chubby",2011-08-22,"2011","8",22,"Mon"
"227",2011-08-23,"Black & White","Collie  X Malamute","M/N","Lost","Ford",2011-08-23,"2011","8",23,"Tues"
"228",2011-08-24,"Grey W/ Blonde Head","Yorkshire Terrier","M/N","Lost","Lakai",2011-08-24,"2011","8",24,"Wed"
"229",2011-08-24,"Tan W/ Black Ring Around Neck","Dove","X","Lost","No Name",2011-08-24,"2011","8",24,"Wed"
"230",2011-08-27,"Grey","Cat- Medium Hair With Busytail","F","Lost","No Name",2011-08-27,"2011","8",27,"Sat"
"231",2011-08-27,"Budgie- Light Blue Body, White","","","Lost","Charlie",2011-08-27,"2011","8",27,"Sat"
"232",2011-08-25,"Black & White","Dsh","","Lost","No Name",2011-08-30,"2011","8",25,"Thurs"
"233",2011-08-31,"Fawn","Chihuahua","F","Lost","Sasa",2011-08-31,"2011","8",31,"Wed"
"234",2011-09-01,"Black","","","Lost","No Name",2011-09-01,"2011","9",1,"Thurs"
"235",2011-09-02,"White","Poodle","M/N","Lost","Sunny",2011-09-02,"2011","9",2,"Fri"
"236",2011-09-02,"Blue","Pit Bull","F","Lost","Stacey",2011-09-02,"2011","9",2,"Fri"
"237",2011-09-03,"Black & White","","","Lost","Madison",2011-09-03,"2011","9",3,"Sat"
"238",2011-08-31,"Grey & White","Persian","F/S","Lost","Pennywise",2011-09-07,"2011","8",31,"Wed"
"239",2011-09-01,"Black & White","Dsh Cat","M/N","Lost","Toni",2011-09-09,"2011","9",1,"Thurs"
